"month" "num" "group"
"145" 135 63353884929.7552 "Seasonally Adjusted"
"146" 136 62773679412.2557 "Seasonally Adjusted"
"147" 137 63293705749.5772 "Seasonally Adjusted"
"148" 138 64927021948.9958 "Seasonally Adjusted"
"149" 139 64175974356.8379 "Seasonally Adjusted"
"150" 140 67968922793.6418 "Seasonally Adjusted"
"151" 141 69899705252.9207 "Seasonally Adjusted"
"152" 142 70319618080.7605 "Seasonally Adjusted"
"153" 143 70791266915.307 "Seasonally Adjusted"
"154" 144 70897927504.1465 "Seasonally Adjusted"
"155" 145 71560138261.8317 "Seasonally Adjusted"
"156" 146 72014205353.6229 "Seasonally Adjusted"
"157" 147 72938193043.0151 "Seasonally Adjusted"
"158" 148 73487153588.8351 "Seasonally Adjusted"
"159" 149 73114664472.311 "Seasonally Adjusted"
"160" 150 73533565387.6843 "Seasonally Adjusted"
"161" 151 74055477677.423 "Seasonally Adjusted"
"162" 152 75162892646.5046 "Seasonally Adjusted"
"163" 153 74966332165.9473 "Seasonally Adjusted"
"164" 154 75826714319.2971 "Seasonally Adjusted"
"165" 155 76960486411.0424 "Seasonally Adjusted"
"166" 156 77399834667.7725 "Seasonally Adjusted"
"167" 157 78851391465.0989 "Seasonally Adjusted"
"168" 158 78104427373.5159 "Seasonally Adjusted"
"169" 159 79869141235.8331 "Seasonally Adjusted"
"170" 160 81376946718.0878 "Seasonally Adjusted"
"171" 161 82977009377.1543 "Seasonally Adjusted"
"172" 162 81426750023.7583 "Seasonally Adjusted"
"173" 163 80900033547.5058 "Seasonally Adjusted"
"174" 164 80782619824.0937 "Seasonally Adjusted"
"175" 165 81157659212.9165 "Seasonally Adjusted"
"176" 166 81889083670.4615 "Seasonally Adjusted"
"177" 167 81915512468.0841 "Seasonally Adjusted"
"178" 168 82661055333.8851 "Seasonally Adjusted"
"179" 169 84905821765.3516 "Seasonally Adjusted"
"180" 170 87612583659.9931 "Seasonally Adjusted"
"181" 171 86859559517.3412 "Seasonally Adjusted"
"182" 172 86576946147.1219 "Seasonally Adjusted"
"183" 173 86065046565.6417 "Seasonally Adjusted"
"184" 174 86707383621.1834 "Seasonally Adjusted"
"185" 175 86864159426.2211 "Seasonally Adjusted"
"186" 176 86213032714.2909 "Seasonally Adjusted"
"187" 177 86532269050.7693 "Seasonally Adjusted"
"188" 178 87031679977.6899 "Seasonally Adjusted"
"189" 179 87559898199.4501 "Seasonally Adjusted"
"190" 180 88516235779.5436 "Seasonally Adjusted"
"191" 181 88560977115.055 "Seasonally Adjusted"
"192" 182 91576570122.1457 "Seasonally Adjusted"
"193" 183 90529016370.4289 "Seasonally Adjusted"
"194" 184 91848966108.5762 "Seasonally Adjusted"
"195" 185 95662357975.9857 "Seasonally Adjusted"
"196" 186 94556364439.5303 "Seasonally Adjusted"
"197" 187 94718987310.2077 "Seasonally Adjusted"
"198" 188 94673981033.4249 "Seasonally Adjusted"
"199" 189 94092836836.4023 "Seasonally Adjusted"
"200" 190 93899377705.3204 "Seasonally Adjusted"
"201" 191 94279038722.5428 "Seasonally Adjusted"
"202" 192 93645362024.0097 "Seasonally Adjusted"
"203" 193 93954096381.9183 "Seasonally Adjusted"
"204" 194 93074581202.1313 "Seasonally Adjusted"
"205" 195 94109818801.0978 "Seasonally Adjusted"
"206" 196 94625922835.0169 "Seasonally Adjusted"
"207" 197 94298704917.8933 "Seasonally Adjusted"
"208" 198 93648920375.0612 "Seasonally Adjusted"
"209" 199 98477164273.1807 "Seasonally Adjusted"
"210" 200 106262899703.923 "Seasonally Adjusted"
