"state","value"
1,0.100385866116406
2,-0.00254946586128979
4,0.137692392746642
5,0.0146428325886447
6,0.0977099465843934
8,0.156992963594775
9,0.164218782457688
10,0.32497742508902
11,0.13079574683676
12,0.132868901896086
13,0.170372253802716
15,-0.0427590775793716
16,-0.0426239136821294
17,0.0809059289293532
18,0.0615013089750107
19,-0.0380476018282146
20,0.0524238903917664
21,-0.0660438956955219
22,0.402813536576271
23,0.283109342241102
24,0.107577176785712
25,0.252041777753758
26,0.0951348409392279
27,-0.0952573221067256
28,0.175801851961891
29,0.0666211408912616
30,-0.158586441721172
31,0.0722384730303152
32,0.148213502112253
33,0.0717734403532062
34,0.0783627162427865
35,0.164332473086994
36,0.0205355576954005
37,0.116975729394277
38,-0.193240005249191
39,0.0543186531935749
40,0.220835249695168
41,0.0916306453471865
42,0.00413283574324219
44,0.229588539673965
45,0.125743443967006
46,-0.037400052566362
47,0.0854994964597606
48,0.117514841044486
49,0.0548666681466197
50,0.351881132923166
51,0.0803965814735659
53,0.0951654045801107
54,0.233986145614338
55,-0.0886794224412146
56,0.00956763867707866
