"state","value"
1,0.171635626261717
2,0.2
4,0.0444260329169495
5,0.106735647079475
6,0.0860442742075531
8,0.133983494306822
9,0.0238276366825216
10,0.0672937010008465
11,-0.0696776794738384
12,0.105543005069092
13,0.155882111771535
15,0.2
16,0.2
17,0.076997032782173
18,0.165092457411073
19,0.0290841299984086
20,-0.0454358619688454
21,0.125880759771565
22,0.2
23,0.0697056426847009
24,0.0820865363220979
25,-0.00262814100408437
26,0.0459262932770854
27,0.0275882742186242
28,0.094337349779579
29,0.11950129690008
30,-0.00948166883848256
31,-0.00134018575218708
32,0.150180403789882
33,0.2
34,-0.0395715648369576
35,0.0770303510201278
36,0.0673781673529321
37,0.0751583839008647
38,-0.2
39,0.0351361640167558
40,0.0393908823496136
41,0.174243479179372
42,0.061055187056027
44,0.115771051531087
45,0.2
46,0.2
47,0.102376334353794
48,0.0575130239679351
49,0.0277654352795733
50,0.0090448935941061
51,0.0319239512134124
53,0.2
54,0.0488071725810524
55,-0.0098567366698542
56,0.0890723300155194
