"month","yoy","group"
60,NA,"Deep Subprime"
61,NA,"Deep Subprime"
62,NA,"Deep Subprime"
63,NA,"Deep Subprime"
64,NA,"Deep Subprime"
65,NA,"Deep Subprime"
66,NA,"Deep Subprime"
67,NA,"Deep Subprime"
68,NA,"Deep Subprime"
69,NA,"Deep Subprime"
70,NA,"Deep Subprime"
71,NA,"Deep Subprime"
72,0.170192479098667,"Deep Subprime"
73,0.20349337345345,"Deep Subprime"
74,0.0287931839714473,"Deep Subprime"
75,0.220443969625213,"Deep Subprime"
76,0.124000603794395,"Deep Subprime"
77,-0.00305873872223461,"Deep Subprime"
78,-0.0856611859021713,"Deep Subprime"
79,0.0359572776053363,"Deep Subprime"
80,-0.103280516543138,"Deep Subprime"
81,0.0527639016026376,"Deep Subprime"
82,-0.129101960463047,"Deep Subprime"
83,-0.31142375477175,"Deep Subprime"
84,-0.115791537071727,"Deep Subprime"
85,-0.35914515094979,"Deep Subprime"
86,-0.600154767898532,"Deep Subprime"
87,-0.637738321041968,"Deep Subprime"
88,-0.7410301219215,"Deep Subprime"
89,-0.652687055551261,"Deep Subprime"
90,-0.692519874923185,"Deep Subprime"
91,-0.714693130775614,"Deep Subprime"
92,-0.70575679215059,"Deep Subprime"
93,-0.736338272072404,"Deep Subprime"
94,-0.736039464742021,"Deep Subprime"
95,-0.701185915368511,"Deep Subprime"
96,-0.731498571593639,"Deep Subprime"
97,-0.640286627854298,"Deep Subprime"
98,-0.646710872666947,"Deep Subprime"
99,-0.532670368845041,"Deep Subprime"
100,-0.636696945621404,"Deep Subprime"
101,-0.755731935412287,"Deep Subprime"
102,-0.471342313721531,"Deep Subprime"
103,-0.682334192459962,"Deep Subprime"
104,-0.706071770564322,"Deep Subprime"
105,-0.581182232982662,"Deep Subprime"
106,-0.671247431326964,"Deep Subprime"
107,-0.718075542691464,"Deep Subprime"
108,-0.632229193767101,"Deep Subprime"
109,-0.813748715511522,"Deep Subprime"
110,-0.529251090743255,"Deep Subprime"
111,-0.452065265411485,"Deep Subprime"
112,-0.451244494494369,"Deep Subprime"
113,-0.414692446854096,"Deep Subprime"
114,-0.349044961282613,"Deep Subprime"
115,-0.589794917404889,"Deep Subprime"
116,-0.0735692524021561,"Deep Subprime"
117,-0.4862901589838,"Deep Subprime"
118,-0.318303214207775,"Deep Subprime"
119,0.225945560693184,"Deep Subprime"
120,0.377245755428428,"Deep Subprime"
121,0.361583734443079,"Deep Subprime"
122,0.0794347509809448,"Deep Subprime"
123,-0.21698840302865,"Deep Subprime"
124,0.6105241160857,"Deep Subprime"
125,0.0295829824975558,"Deep Subprime"
126,-0.687121342571404,"Deep Subprime"
127,0.837738667278426,"Deep Subprime"
128,-0.301093156053845,"Deep Subprime"
129,-0.453150643497159,"Deep Subprime"
130,-0.0251966493391668,"Deep Subprime"
131,-0.149065407480616,"Deep Subprime"
132,-0.735567426813927,"Deep Subprime"
133,-0.275827735713354,"Deep Subprime"
134,-0.465581217503535,"Deep Subprime"
135,-0.541167588633488,"Deep Subprime"
136,-0.546975481057062,"Deep Subprime"
137,-0.458087339779293,"Deep Subprime"
138,0.928158791826508,"Deep Subprime"
139,-0.333665542041815,"Deep Subprime"
140,0.440905620604152,"Deep Subprime"
141,0.0419531115295515,"Deep Subprime"
142,-0.615078317880872,"Deep Subprime"
143,-0.183500886899445,"Deep Subprime"
144,1.26095964475329,"Deep Subprime"
145,1.02129937947731,"Deep Subprime"
146,0.733885594076469,"Deep Subprime"
147,0.323222717018475,"Deep Subprime"
148,-0.197034829820537,"Deep Subprime"
149,0.922313599402518,"Deep Subprime"
150,-0.335549485990917,"Deep Subprime"
